Month/Year,GEOID,totalStateAMS_RES,totalStateRES_VAC,totalStateAVG_VAC_R,totalStateVAC_3_RES,totalStateVAC_3_6_R,totalStateVAC_6_12R,totalStateVAC_12_24R,totalStateVAC_24_36R,totalStateVAC_36_RES
3/2008,01,2207092.0,76698.0,289.3322170398646,12532.0,8211.0,13746.0,13506.0,28703.0,0.0
3/2008,02,192992.0,6781.0,200.4065748502993,1514.0,1013.0,1324.0,1388.0,1542.0,0.0
3/2008,04,2496384.0,90995.0,199.50443374836192,27485.0,14021.0,17943.0,14758.0,16788.0,0.0
3/2008,05,1261576.0,29067.0,335.7832291545192,3141.0,2004.0,4366.0,3807.0,15749.0,0.0
3/2008,06,13187830.0,183981.0,350.20561527128086,46224.0,31333.0,33947.0,33665.0,38812.0,0.0
3/2008,08,2069685.0,65539.0,292.4104100880701,15259.0,8901.0,13029.0,11465.0,16885.0,0.0
3/2008,09,1447490.0,25018.0,557.732390591074,3159.0,1956.0,3856.0,4527.0,11520.0,0.0
3/2008,10,415556.0,7921.0,423.87196790697675,1370.0,782.0,1123.0,1307.0,3339.0,0.0
3/2008,11,286662.0,10779.0,551.1052849162012,892.0,1181.0,2087.0,2676.0,3943.0,0.0
3/2008,12,9162405.0,363637.0,312.2742340319123,83143.0,55319.0,70680.0,80868.0,73627.0,0.0
3/2008,13,4129136.0,193227.0,406.4797900203664,40174.0,21463.0,32854.0,46089.0,52647.0,0.0
3/2008,15,453460.0,10812.0,327.4495475460121,1612.0,2084.0,2357.0,1549.0,3210.0,0.0
3/2008,16,572876.0,10540.0,236.36805033557044,2655.0,1542.0,1901.0,2058.0,2384.0,0.0
3/2008,17,5179256.0,189453.0,319.30886956103836,38252.0,30472.0,45655.0,28670.0,46404.0,0.0
3/2008,18,2823506.0,141904.0,320.536728713528,27858.0,17996.0,30299.0,25537.0,40214.0,0.0
3/2008,19,1350131.0,39123.0,273.2767945454544,8570.0,6168.0,6939.0,6770.0,10676.0,0.0
3/2008,20,1222969.0,49721.0,291.9846980519481,9998.0,7066.0,8194.0,7879.0,16584.0,0.0
3/2008,21,1850177.0,76599.0,324.6185614349782,9829.0,17230.0,16552.0,18649.0,14339.0,0.0
3/2008,22,1882628.0,44078.0,441.72217588028224,5426.0,1912.0,4700.0,10537.0,21503.0,0.0
3/2008,23,574718.0,12482.0,259.39482051282056,1731.0,1459.0,1925.0,2438.0,4929.0,0.0
3/2008,24,2329589.0,45928.0,316.26242639885237,6768.0,3834.0,15098.0,8380.0,11848.0,0.0
3/2008,25,2673636.0,44252.0,518.7289011556763,5080.0,4126.0,8035.0,8412.0,18599.0,0.0
3/2008,26,4470990.0,193021.0,352.78043400795053,35295.0,22132.0,38208.0,51461.0,45925.0,0.0
3/2008,27,2269235.0,76053.0,364.996024868914,15803.0,9577.0,15562.0,20270.0,14841.0,0.0
3/2008,28,1280213.0,51165.0,308.3718695915276,7849.0,18692.0,6996.0,5703.0,11925.0,0.0
3/2008,29,2696149.0,102349.0,261.45732368987797,22583.0,19425.0,18966.0,15363.0,26012.0,0.0
3/2008,30,400773.0,11065.0,213.24170110701112,2303.0,1446.0,1929.0,1883.0,3504.0,0.0
3/2008,31,792865.0,22724.0,259.69225958646615,5191.0,2880.0,3957.0,3687.0,7009.0,0.0
3/2008,32,1104226.0,33385.0,259.24651039531494,9298.0,6160.0,7855.0,5845.0,4227.0,0.0
3/2008,33,542986.0,17257.0,444.32697789115616,2843.0,1129.0,3044.0,6506.0,3735.0,0.0
